囚鸟,,,https://book.douban.com/subject/27045888/,,,[美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元,,,8.0,,,2005
飘,,,https://book.douban.com/subject/1068920/,,,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,,,9.3,,,85457
灯塔,,,https://book.douban.com/subject/26695174/,,,[法] 克里斯多夫·夏布特 / 吕俊君 / 北京联合出版公司·后浪出版公司 / 2016-2 / 128.00元,,,9.1,,,4157
我的天才女友:那不勒斯四部曲-01,,,https://book.douban.com/subject/26878124/,,,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,,,8.4,,,11893
局外人,,,https://book.douban.com/subject/4908885/,,,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元,,,9.0,,,41788
卡拉马佐夫兄弟,,,https://book.douban.com/subject/1856494/,,,[俄]陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00,,,9.4,,,8452
醒来的女性:一部女性的心灵史,,,https://book.douban.com/subject/27042344/,,,[美] 玛丽莲·弗伦奇 / 余莉 / 未读·文艺家·北京联合出版公司 / 2017-7 / 90.00元,,,8.8,,,1675
不能承受的生命之轻,,,https://book.douban.com/subject/1017143/,,,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,,,8.5,,,143046
刀锋,,,https://book.douban.com/subject/2035162/,,,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,,,9.0,,,31170
小王子,,,https://book.douban.com/subject/1084336/,,,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,,,9.0,,,253942
戴上手套擦泪:01相遇,,,https://book.douban.com/subject/27006492/,,,[瑞典] 乔纳斯·嘉德尔 / 郭腾坚 / 甘肃人民美术出版社 / 2017-5 / 38,,,8.0,,,1800
你一生的故事:特德·姜科幻小说集,,,https://book.douban.com/subject/26295448/,,,[美] 特德·姜 / 李克勤、王荣生、姚向辉 / 译林出版社 / 2015-5 / 36.00元,,,8.6,,,12197
贝伦与露西恩,,,https://book.douban.com/subject/27035185/,,,[英] J.R.R. 托尔金 著、[英] 克里斯托弗·托尔金 编、[英] 艾伦·李 图 / 石中歌、杜蕴慈、邓嘉宛 / 世纪文景/上海人民出版社 / 2017-6 / 69.80元,,,9.1,,,298
恋情的终结,,,https://book.douban.com/subject/26279019/,,,[英] 格雷厄姆·格林 / 柯平 / 江苏凤凰文艺出版社 / 2017-4 / 58.00元,,,8.0,,,6115
人生的枷锁,,,https://book.douban.com/subject/2035171/,,,[英] 毛姆 / 张柏然、张增健、倪俊 / 上海译文出版社 / 2007-3 / 32.00元,,,9.0,,,13336
